Socola Chocolatier + Barista|SoMa|535 Folsom St|San Francisco|CA|94105|(415) 400-4071|Chocolatiers & Shops
The Mill|Alamo Square|736 Divisadero St|San Francisco|CA|94117|(415) 345-1953|Coffee & Tea
Bean Bag Cafe|Alamo Square, NoPa|601 Divisadero St|San Francisco|CA|94117|(415) 563-3634|Coffee & Tea, Sandwiches
Alamo Square Cafe|Alamo Square|711 Fillmore St|San Francisco|CA|94117|(415) 447-8636|Sandwiches
Colognia Watercafe|Alamo Square|1111 Steiner St|San Francisco|CA|94115||Coffee & Tea
Martha & Brothers Coffee|Inner Sunset|401 Irving St|San Francisco|CA|94122|(415) 742-4662|Coffee & Tea, Bagels
Starbucks|Anza Vista|85 Masonic Ave|San Francisco|CA|94118||Coffee & Tea
Happy Donuts|Visitacion Valley|2600 Bayshore Blvd|San Francisco|CA|94134|(415) 469-5309|Donuts
Trouble Coffee Company|Bayview-Hunters Point|1730 Yosemite Ave|San Francisco|CA|94124||Coffee & Tea
Ritual Coffee Roasters|Bayview-Hunters Point|1634 Jerrold Ave|San Francisco|CA|94124|(415) 694-6448|Coffee & Tea
Javalencia Cafe|Bayview-Hunters Point|3900 3rd St|San Francisco|CA|94124|(415) 647-7420|Coffee & Tea
George’s Coffee Shop|Bayview-Hunters Point|2200 Oakdale Ave|San Francisco|CA|94124||American (Traditional), Chinese
Road House Coffee Company|Bayview-Hunters Point|5191 3rd St|San Francisco|CA|94124|(415) 671-2075|Coffee & Tea
Europa Malvina Coffee Company|Bayview-Hunters Point|2250 Jerrold Ave|San Francisco|CA|94124|(415) 285-9376|Coffee & Tea
Vasquez Coffee Company|Bayview-Hunters Point|50 Mendell Street, Unit One|San Francisco|CA|94124|(415) 824-2925|Coffee & Tea
Tiffanys Cafe|Bayview-Hunters Point|3801 3rd St|San Francisco|CA|94124|(415) 824-1715|Restaurants
BBC Cafe|Bayview-Hunters Point|1485 Bayshore Blvd|San Francisco|CA|94124|(415) 467-2051|Cafes
Ledesma’s Coffee Shop & Rolex Authorized Dealer|Bayview-Hunters Point|1485 Bayshore Blvd|San Francisco|CA|94124||Watches
Happy Donuts|Visitacion Valley|2600 Bayshore Blvd|San Francisco|CA|94134|(415) 469-5309|Donuts
Trouble Coffee Company|Bayview-Hunters Point|1730 Yosemite Ave|San Francisco|CA|94124||Coffee & Tea
Ritual Coffee Roasters|Bayview-Hunters Point|1634 Jerrold Ave|San Francisco|CA|94124|(415) 694-6448|Coffee & Tea
Javalencia Cafe|Bayview-Hunters Point|3900 3rd St|San Francisco|CA|94124|(415) 647-7420|Coffee & Tea
George’s Coffee Shop|Bayview-Hunters Point|2200 Oakdale Ave|San Francisco|CA|94124||American (Traditional), Chinese
